sdfsadfasdfafsdfas
temp,67.640,1403638692.96
temp,67.820,1403638693.97
temp,67.820,1403638694.97
temp,67.640,1403638695.98
temp,209.480,1403873356.62
temp,209.840,1403873357.62
temp,265.820,1404137547.89
temp,265.820,1404137548.90
temp,265.820,1404137549.91
temp,265.820,1404137550.91
temp,265.820,1404137551.92
temp,265.820,1404137552.92
temp,265.820,1404137553.93
temp,265.820,1404137554.94
temp,77.180,1404137555.94
temp,265.820,1404137556.95
temp,265.820,1404137557.96
temp,265.820,1404137558.97
temp,265.820,1404137559.97
temp,75.380,1404137560.98
temp,74.840,1404137561.99
temp,74.300,1404137562.99
temp,75.020,1404137564.00
temp,77.180,1404137565.01
temp,77.720,1404137566.02
temp,75.740,1404137567.02
temp,76.460,1404137568.03
temp,75.560,1404137569.04
temp,74.840,1404137570.04
temp,75.020,1404137571.05
temp,75.200,1404137572.06
temp,75.200,1404137573.07
temp,77.540,1404137574.07
temp,76.460,1404137575.08
temp,75.200,1404137576.08
temp,77.540,1404137577.09
temp,77.720,1404137578.10
temp,75.200,1404137579.11
temp,77.180,1404137580.11
temp,77.540,1404137581.12
temp,77.720,1404137582.13
temp,77.360,1404137583.13
temp,77.540,1404137584.14
temp,75.740,1404137585.15
temp,75.200,1404137586.16
temp,75.200,1404137587.17
temp,77.180,1404137588.17
temp,77.360,1404137589.18
temp,75.200,1404137590.18
temp,77.720,1404137591.19
temp,75.380,1404137592.20
temp,75.380,1404137593.20
temp,74.120,1404137594.21
temp,77.540,1404137595.22
temp,77.180,1404137596.22
temp,265.820,1404137597.23
temp,265.820,1404137598.24
temp,265.820,1404137599.24
temp,265.820,1404137600.25
temp,75.200,1404137601.26
temp,74.480,1404137602.26
temp,265.820,1404137603.27
temp,265.820,1404137604.28
temp,77.000,1404137605.28
temp,77.900,1404137606.29
temp,73.940,1404137607.30
temp,74.660,1404137608.30
temp,77.180,1404137609.31
temp,77.180,1404137610.32
temp,77.900,1404137611.32
temp,78.080,1404137612.33
temp,98.600,1404137613.34
temp,87.260,1404137614.34
temp,84.380,1404137615.35
temp,86.900,1404137616.35
temp,86.540,1404137617.36
temp,87.440,1404137618.37
temp,86.540,1404137619.37
temp,84.560,1404137620.38
temp,85.280,1404137621.39
temp,86.540,1404137622.40
temp,86.720,1404137623.40
temp,84.200,1404137624.41
temp,84.380,1404137625.42
temp,86.540,1404137626.42
temp,84.020,1404137627.43
temp,87.080,1404137628.44
temp,86.720,1404137629.44
temp,86.900,1404137630.45
temp,84.380,1404137631.45
temp,84.380,1404137632.47
temp,88.160,1404137633.47
temp,98.420,1404137634.48
temp,98.420,1404137635.48
temp,101.300,1404137636.49
temp,100.760,1404137637.50
temp,265.820,1404137638.51
temp,265.820,1404137639.51
temp,265.820,1404137640.52
temp,265.820,1404137641.52
temp,265.820,1404137642.53
temp,265.820,1404137643.54
temp,265.820,1404137644.54
temp,265.820,1404137645.55
temp,265.820,1404137646.55
temp,265.820,1404137647.56
temp,265.820,1404137648.57
temp,265.820,1404137649.57
temp,265.820,1404137650.58
temp,265.820,1404137651.59
temp,265.820,1404137652.60
temp,265.820,1404137653.60
temp,265.820,1404137654.61
temp,265.820,1404137655.62
temp,265.820,1404137656.62
temp,265.820,1404137657.63
temp,265.820,1404137658.64
temp,265.820,1404137659.64
temp,265.820,1404137660.65
temp,265.820,1404137661.66
temp,265.820,1404137662.66
temp,265.820,1404137663.67
temp,265.820,1404137664.68
temp,265.820,1404137665.68
temp,265.820,1404137666.69
temp,265.820,1404137667.70
temp,265.820,1404137668.71
temp,265.820,1404137669.71
temp,265.820,1404137670.72
